ID,LastName,FirstName,JobCode,BasePay,UtilizationRate,EvaluationScore
101,Anders,Maria,C,139071,102.31,1.0
102,Trujillo,Ana,C,103738,81.24,10.0
103,Moreno,Antonio,C,156932,90.71,0.0
104,Hardy,Thomas,D,337573,99.38,0.0
105,Berglund,Christina,C,85728,74.67,10.0
106,Moos,Hanna,C,133580,84.22,10.0
107,Lebihan,Laurence,C,130599,76.13,10.0
108,Lincoln,Elizabeth,C,88617,89.11,6.0
109,Ashworth,Victoria,C,109454,85.2,2.0
110,Simpson,Patricio,C,158427,75.78,0.5
112,Wang,Yang,D,333585,71.29,0.0
113,Afonso,Pedro,C,91293,93.29,3.0
114,Brown,Elizabeth,D,338859,93.96,0.0
115,Ottlieb,Sven,D,321235,100.4,0.0
116,Labrune,Janine,C,188031,95.64,1.0
117,Devon,Ann,C,62411,89.91,4.0
118,Mendel,Roland,C,68455,103.42,0.3
119,Cruz,Aria,D,494200,113.91,0.0
120,Roel,Diego,C,140957,104.31,2.0
121,Rancher,Martine,C,152914,73.73,1.0
122,Larsson,Maria,C,132789,86.22,10.0
123,Franken,Peter,D,480080,24.04,0.0
124,Schmitt,Carine,D,489792,69.02,0.0
125,Accorti,Paolo,C,189422,103.87,2.0
126,Rodriguez,Lino,C,195081,98.53,10.0
127,Saavedra,Eduardo,C,96432,83.38,2.5
128,Fonseca,Andrew,C,176787,92.31,10.0
129,Snyder,Howard,C,85477,91.11,10.0
130,Pereira,Manuel,C,134186,99.73,10.0
131,Pontes,Mario,C,76276,87.24,1.5
132,Latimer,Yoshi,C,138630,72.98,1.5
133,McKenna,Patricia,C,193764,73.38,1.0
134,Bennett,Helen,D,349284,86.13,0.0
135,Cramer,Philip,C,64018,95.07,9.0
136,Tonini,Daniel,C,133797,108.98,1.0
137,Roulet,Annette,C,130000,101.42,1.0
138,Tannamuri,Yoshi,D,495232,96.76,0.0
139,Steel,John,D,392945,97.51,0.0
140,Messner,Renate,C,164540,105.24,3.5
141,Yorres,Jaime,C,107449,86.04,2.0
142,Izquierdo,Felipe,C,121957,53.69,1.5
143,Wilson,Fran,C,136493,111.96,1.0
144,Rovelli,Giovanni,C,87554,45.02,1.5
145,Dewey,Catherine,C,198090,81.11,10.0
146,Feuer,Alexander,C,169024,98.58,1.3
147,Crowther,Simon,D,335916,96.93,0.0
148,Moncada,Yvonne,D,458934,91.96,0.0
149,Phillips,Rene,C,159590,105.07,0.0
150,Pfalzheim,Henriette,C,152835,102.27,0.0
151,Bertrand,Marie,C,69350,76.76,10.0
152,Fred,Guillermo,C,60219,74.36,2.5
